00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 29 00 25 03 03 03 03 03 03 03 03 24 00 28 00
00 04 27 01 01 01 01 01 01 01 01 01 01 26 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 01 01 01 01 01 01 01 01 01 05 00
00 04 01 01 01 11 30 31 30 10 01 01 01 01 05 00
00 07 02 02 14 00 00 00 00 00 15 02 02 02 06 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
